StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID_1,QSM01,QSM01_8_TEXT,QSM02,QSM03,QSM04,QSM04_6_TEXT,QSM05,QSM05_4_TEXT,QSM06,QSM06_8_TEXT,QSM07,QSM07_8_TEXT,QSM08,QSM09,QSM10,QSM11,QSM12,Q1_8_TEXT - Parent Topics,Q1_8_TEXT - Topics,Q1_8_TEXT - Topic Hierarchy Level 1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter the number at the top of your informed consent form. - Number:,Which social media platforms do you use? Select all that apply: - Selected Choice,Which social media platforms do you use? Select all that apply: - Other - Text,How often do you post or respond on social media?,How often do you view content on social media without responding?,When do you use social media? - Selected Choice,When do you use social media? - Other - Text,What devices do you generally use to access social media? - Selected Choice,What devices do you generally use to access social media? - Other - Text,What are your main reasons for using social media? - Selected Choice,What are your main reasons for using social media? - Other - Text,Which of the following do you most often use as your main sources of news?  Select all that apply: - Selected Choice,Which of the following do you most often use as your main sources of news?  Select all that apply: - Other - Text,I feel comfortable being close friends with someone who holds very different political beliefs from me.,I use social media to consume news about political topics.,I frequently encounter political discussion online (whether or not I participate).,I frequently participate in political discussion online.,I feel safe expressing my opinions on social media.,Q1_8_TEXT - Parent Topics,Q1_8_TEXT - Topics,Q1_8_TEXT - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_8_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_8_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_8_TEXT_95e579e5_cg0zaxi0gw5dParTopics""}","{""ImportId"":""QID14_8_TEXT_95e579e5_cg0zaxi0gw5dTopics""}","{""ImportId"":""QID14_8_TEXT_95e579e5_cg0zaxi0gw5dTopicHierarchy1""}"
2025-11-24 14:07:55,2025-11-24 14:09:21,0,199.111.64.88,100,86,1,2025-11-24 14:09:22,R_59sq3qwdvKapBTD,,,,,38.3,-77.4739,anonymous,EN,1018,"1,3,5",,1,1,"1,2,4,5",,1,,"2,3,4,6",,"5,7",,5,5,5,5,5,,,
2025-11-24 14:07:56,2025-11-24 14:10:29,0,199.111.64.88,100,153,1,2025-11-24 14:10:30,R_3v7luar2A73tlSx,,,,,38.3,-77.4739,anonymous,EN,1036,"2,3,5,8",Snapchat,1,1,"1,2,3,4,5",,1,,"1,2,4,7",,"2,4,5,6",,5,1,5,1,3,,Unknown,
2025-11-24 14:07:57,2025-11-24 14:11:09,0,199.111.65.11,100,192,1,2025-11-24 14:11:10,R_1ygrjF06u9uaBGN,,,,,38.3,-77.4739,anonymous,EN,1045,"1,3,8",Youtube,1,1,"1,2,3",,"1,2",,4,,"4,7",,4,2,2,1,4,,Unknown,
2025-11-24 14:07:57,2025-11-24 14:11:31,0,199.111.65.11,100,213,1,2025-11-24 14:11:32,R_7OQ05gt5Siq9TaN,,,,,38.3,-77.4739,anonymous,EN,1054,"1,3",,5,2,2,,"1,2",,"3,4",,7,,5,4,4,1,5,,,
2025-11-24 14:07:56,2025-11-24 14:12:39,0,199.111.65.11,100,283,1,2025-11-24 14:12:40,R_7Map4a3z78czEsd,,,,,38.3,-77.4739,anonymous,EN,1027,"1,2,3",,1,2,"1,2,3,4,5",,1,,"1,2,3,4,5,7",,"5,7",,3,2,3,1,3,,,
2025-12-01 14:06:16,2025-12-01 14:08:47,0,199.111.65.11,100,150,1,2025-12-01 14:08:47,R_6M0cYA2UeUswFCQ,,,,,38.3,-77.4739,anonymous,EN,2045,"2,4,5",,5,1,"1,2,3,4,5",,1,,"1,2,3,4,7",,"4,6,7",,3,2,2,1,1,,,
2025-12-01 14:06:11,2025-12-01 14:09:05,0,199.111.65.11,100,174,1,2025-12-01 14:09:05,R_5dMozbOnuJTpkwQ,,,,,38.3,-77.4739,anonymous,EN,2054,"2,3,4,8",YouTube,5,1,"1,2,3,5",,"1,2",,"1,3,4,7",,"2,6,7",,4,4,4,1,1,,Unknown,
2025-12-01 14:06:11,2025-12-01 14:09:10,0,199.111.65.11,100,178,1,2025-12-01 14:09:11,R_7D0J2Qtq2VrLrMA,,,,,38.3,-77.4739,anonymous,EN,2009,"2,4,5",,4,1,"1,2,3,5",,1,,"1,2,3,4,7",,"2,4,7",,3,4,4,1,2,,,
